symbol,date,open,high,low,close,volume,adjusted,ticker,djia
CAT,2020-01-13,146.529999,146.830002,145.550003,146.820007,3355200,145.797318,CAT,1
CAT,2020-01-14,147.449997,147.979996,146.309998,146.679993,2742200,145.658279,CAT,1
CAT,2020-01-15,146.220001,146.740005,145.199997,145.570007,2640500,144.55603,CAT,1
CAT,2020-01-16,146.429993,147.929993,146.240005,147.869995,3070900,146.839996,CAT,1
CAT,2020-01-17,147.210007,148.270004,146.600006,147.779999,3331500,147.779999,CAT,1
CAT,2020-01-21,147.199997,147.869995,145.690002,145.850006,2476700,145.850006,CAT,1
CAT,2020-01-22,146.25,146.559998,142.520004,142.630005,3602400,142.630005,CAT,1
CAT,2020-01-23,141.809998,143.210007,139.800003,142.75,3182700,142.75,CAT,1
CAT,2020-01-24,142.550003,142.699997,139.259995,140.380005,2526200,140.380005,CAT,1
CAT,2020-01-27,136.899994,137.809998,135.570007,135.729996,2920500,135.729996,CAT,1
CAT,2020-01-28,137.020004,137.600006,135.619995,136.740005,2763800,136.740005,CAT,1
CAT,2020-01-29,137.589996,137.759995,135.669998,135.779999,2620000,135.779999,CAT,1
CAT,2020-01-30,134.759995,135.970001,132.910004,135.369995,3862600,135.369995,CAT,1
CAT,2020-01-31,133.820007,134.990005,130.539993,131.350006,6785700,131.350006,CAT,1
CAT,2020-02-03,131.440002,133.160004,129.300003,129.770004,4385300,129.770004,CAT,1
CAT,2020-02-04,133,134.779999,132.679993,133.509995,3501600,133.509995,CAT,1
CAT,2020-02-05,135.550003,137.470001,135.440002,137.440002,4448100,137.440002,CAT,1
CAT,2020-02-06,138.199997,138.330002,136.130005,137.25,2283800,137.25,CAT,1
CAT,2020-02-07,136.039993,136.490005,133,133.369995,3812300,133.369995,CAT,1
CAT,2020-02-10,133.039993,134.330002,132.779999,134.320007,2331600,134.320007,CAT,1
CAT,2020-02-11,135.490005,137.229996,135.059998,136.190002,2381900,136.190002,CAT,1
CAT,2020-02-12,138.399994,139.940002,138.089996,139.589996,3222000,139.589996,CAT,1
CAT,2020-02-13,140,140.5,138.429993,139.720001,3318800,139.720001,CAT,1
CAT,2020-02-14,139.490005,139.619995,136.889999,137.990005,2813400,137.990005,CAT,1
CAT,2020-02-18,137.460007,138.570007,135.080002,136.580002,3869700,136.580002,CAT,1
CAT,2020-02-19,136.789993,137.210007,136.059998,136.860001,2134900,136.860001,CAT,1
CAT,2020-02-20,136.259995,138.889999,136.199997,136.929993,2678200,136.929993,CAT,1
CAT,2020-02-21,136.5,137.440002,135.110001,137.210007,2855600,137.210007,CAT,1
CAT,2020-02-24,132.529999,133.860001,132.050003,132.169998,4964800,132.169998,CAT,1
CAT,2020-02-25,132.970001,133.139999,128.25,129,4840200,129,CAT,1
CAT,2020-02-26,129.649994,130.990005,127.550003,128.25,3902500,128.25,CAT,1
CAT,2020-02-27,125.599998,128.529999,123.220001,123.269997,7369000,123.269997,CAT,1
CAT,2020-02-28,119.57,124.239998,119.029999,124.239998,8301900,124.239998,CAT,1
CAT,2020-03-02,125.050003,127.879997,123.010002,127.599998,6100200,127.599998,CAT,1
CAT,2020-03-03,127,129.559998,123.779999,124.379997,6358100,124.379997,CAT,1
CAT,2020-03-04,126.07,127.440002,124.309998,127.400002,5074700,127.400002,CAT,1
